full_name,stars,description
sindresorhus/awesome,405061,"😎 Awesome lists about all kinds of interesting topics"
vinta/awesome-python,262989,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted/awesome-selfhosted,251207,"A list of Free Software network services and web applications which can be hosted on your own servers"
trimstray/the-book-of-secret-knowledge,188785,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
avelino/awesome-go,154047,"A curated list of awesome Go frameworks, libraries and software"
mrdoob/three.js,108853,"JavaScript 3D Library."
excalidraw/excalidraw,108093,"Virtual whiteboard for sketching hand-drawn like diagrams"
papers-we-love/papers-we-love,98909,"Papers from the computer science community to read and discuss."
Hack-with-Github/Awesome-Hacking,98647,"A collection of various awesome lists for hackers, pentesters and security researchers"
shadcn-ui/ui,96240,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code."
tailwindlabs/tailwindcss,90474,"A utility-first CSS framework for rapid UI development."
jaywcjlove/awesome-mac,89316," Now we have become very big, Different from the original idea. Collect premium software in various categories."
mermaid-js/mermaid,83302,"Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown"
MunGell/awesome-for-beginners,78331,"A list of awesome beginners-friendly projects."
DopplerHQ/awesome-interview-questions,77572,":octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: "
vuejs/awesome-vue,73290,"🎉 A curated list of awesome things related to Vue.js"
enaqx/awesome-react,70201,"A collection of awesome things regarding React ecosystem"
fffaraz/awesome-cpp,66846,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff."
chartjs/Chart.js,66609,"Simple HTML5 Charts using the <canvas> tag"
binhnguyennus/awesome-scalability,65816,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems"
prakhar1989/awesome-courses,63405,":books: List of awesome university courses for learning Computer Science!"
sindresorhus/awesome-nodejs,63028,":zap: Delightful Node.js packages and resources"
Solido/awesome-flutter,57435,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more."
h5bp/html5-boilerplate,57180,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
wasabeef/awesome-android-ui,53999,"A curated list of awesome Android UI/UX libraries"
rust-unofficial/awesome-rust,52969,"A curated list of Rust code and resources."
tiimgreen/github-cheat-sheet,52795,"A list of cool features of Git and GitHub."
vsouza/awesome-ios,50028,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects "
dkhamsing/open-source-ios-apps,46821,":iphone: Collaborative List of Open-Source iOS Apps"
brillout/awesome-react-components,45720,"Curated List of React Components & Libraries."
serhii-londar/open-source-mac-os-apps,45547,"🚀 Awesome list of open source applications for macOS. https://t.me/s/opensourcemacosapps"
akullpp/awesome-java,45222,"A curated list of awesome frameworks, libraries and software for the Java programming language."
dypsilon/frontend-dev-bookmarks,45032,"Manually curated collection of resources for frontend web developers."
DovAmir/awesome-design-patterns,44304,"A curated list of software and architecture related design patterns."
tldraw/tldraw,43298,"very good whiteboard SDK / infinite canvas SDK"
docker/awesome-compose,41694,"Awesome Docker Compose samples"
lukasz-madon/awesome-remote-job,40240,"A curated list of awesome remote jobs and resources. Inspired by https://github.com/vinta/awesome-python"
tabler/tabler,40146,"Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap"
videojs/video.js,39138,"Video.js - open source HTML5 video player"
saadeghi/daisyui,38885,"🌼 🌼 🌼 🌼 🌼  The most popular, free and open-source Tailwind CSS component library"
cloudcommunity/Free-Certifications,38597,"A curated list of free courses with certifications. Also available at https://free-certifications.com/"
calcom/cal.com,38298,"Scheduling infrastructure for absolutely everyone."
goabstract/Awesome-Design-Tools,38131,"The best design tools and plugins for everything 👉"
DataExpert-io/data-engineer-handbook,38079,"This is a repo with links to everything you'd ever want to learn about data engineering"
alebcay/awesome-shell,35466,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php."
PatrickJS/awesome-cursorrules,34393,"📄  Configuration files that enhance Cursor AI editor experience with custom rules and behaviors"
deepseek-ai/awesome-deepseek-integration,34002,"Integrate the DeepSeek API into popular softwares"
veggiemonk/awesome-docker,33983,":whale: A curated list of Docker resources and projects"
AmruthPillai/Reactive-Resume,33237,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!"
ziadoz/awesome-php,31968,"A curated list of amazingly awesome PHP libraries, resources and shiny things."
